,tconst,averageRating,numVotes,weightedRating,primaryTitle,startYear,runtimeMinutes
95318,tt0097437,8.2,1993,7.088600748342163,Gitanjali,1989,150
405451,tt0422015,7.4,7113,7.088599632547567,The Ax,2005,117
461087,tt0479143,7.1,192962,7.088530110753251,Rocky Balboa,2006,102
114633,tt0117214,7.9,2727,7.088516608360082,A Moment of Innocence,1996,78
3524870,tt4160708,7.1,192630,7.08851261315076,Don't Breathe,2016,88
1977032,tt1556190,7.6,4323,7.088456160692971,Nostalgia for the Light,2010,90
4727751,tt6842524,9.5,917,7.088455453949146,"Hare Krishna! The Mantra, the Movement and the Swami Who Started It All",2017,90
53467,tt0054476,7.6,4322,7.088438714958053,Wild River,1960,110
394920,tt0411195,7.2,19818,7.0884376812887675,Breakfast on Pluto,2005,128
1411446,tt1077258,7.1,191149,7.088433904390027,Planet Terror,2007,105
275990,tt0287803,7.6,4317,7.088351468431286,Fate: Tales About Darkness,2001,119
3218152,tt3464902,7.1,188209,7.088274416183181,The Lobster,2015,119
315943,tt0329388,7.3,10417,7.088237287178473,Monsieur Ibrahim,2003,96
244686,tt0255094,7.5,5357,7.088233356392266,The Circle,2000,90
97113,tt0099273,8.2,1984,7.088230062259116,City Life,1990,251
56938,tt0058022,8.1,2180,7.08822663723326,"Welcome, or No Trespassing",1964,74
262634,tt0273840,7.9,2715,7.088165253472849,Moscow Square,2001,88
2583681,tt2192016,7.5,5347,7.0880976702804235,The Dark Horse,2014,124
95571,tt0097694,7.9,2710,7.088018765788524,Black Rain,1989,123
2901234,tt2719848,7.1,183463,7.088007464154311,Everest,2015,121
40223,tt0040919,7.6,4295,7.087967229902714,Unfaithfully Yours,1948,105
61036,tt0062228,7.9,2708,7.0879601559116505,Our Folks,1967,81
783591,tt0807956,8.4,1676,7.087959214275004,Occupation 101,2006,90
3343527,tt3754940,7.3,10368,7.087943904094097,Truman,2015,108
23627,tt0024028,7.6,4292,7.087914789020894,Footlight Parade,1933,104
98485,tt0100685,7.2,19606,7.0879074563960005,State of Grace,1990,134
74871,tt0076446,7.9,2706,7.087901537573089,Unfinished Piece for the Player Piano,1977,103
117724,tt0120449,7.4,7038,7.087870653598852,The Dreamlife of Angels,1998,113
296269,tt0309047,7.7,3585,7.087790799370299,War,2002,120
3816635,tt4814290,7.3,10341,7.087781896380974,Te3n,2016,136
272706,tt0284363,7.4,7027,7.087763449589408,I Served the King of England,2006,113
3085494,tt3159564,7.6,4283,7.0877574019055425,My World,2013,100
300635,tt0313573,7.8,3080,7.087749287749288,Selamsiz's Band,1987,107
430900,tt0448115,7.1,179001,7.08774515811197,Shazam!,2019,132
60899,tt0062083,7.5,5320,7.087730870712401,Oscar,1967,85
64615,tt0065908,8.0,2404,7.087724419792731,How I Unleashed World War II,1970,224
3237656,tt3510372,7.7,3577,7.087619414214228,Excuse My French,2014,99
1769366,tt1340800,7.1,176556,7.087596499235944,Tinker Tailor Soldier Spy,2011,122
160324,tt0165623,7.4,7005,7.087548820496798,Angst,1983,87
4337995,tt5982852,7.2,19449,7.087511530068169,Jolly LLB 2,2017,137
175716,tt0181960,7.7,3571,7.087490812362186,After the Rain,1999,91
3324351,tt3711164,8.1,2160,7.087481590574374,Sathuranga Vettai,2014,145
351850,tt0366551,7.1,173565,7.087409664341651,Harold & Kumar Go to White Castle,2004,88
748818,tt0772153,8.0,2393,7.087358084182091,America: Freedom to Fascism,2006,95
4951045,tt7320560,8.2,1962,7.08732289889474,Cuba and the Cameraman,2017,113
55654,tt0056714,7.6,4257,7.087302184092696,The Tale of Zatoichi,1962,96
183588,tt0190419,7.3,10256,7.087270251872021,Ghulam,1998,162
4507687,tt6359554,8.0,2389,7.08722479827668,Raajakumara,2017,148
2455051,tt2053463,7.1,170486,7.087211360404325,Side Effects,2013,106
36949,tt0037595,7.4,6970,7.087206756334063,Christmas in Connecticut,1945,101
3908914,tt5021536,8.4,1660,7.087171792948237,Kendasampige,2015,99
248208,tt0258760,7.3,10234,7.087137424079015,Lammbock,2001,93
52134,tt0053106,7.9,2679,7.0871093608873155,Letter Never Sent,1960,96
3036527,tt3043252,7.6,4243,7.087056731525493,Parched,2015,116
964537,tt0995031,7.2,19268,7.087051594831481,Bhool Bhulaiyaa,2007,159
167951,tt0173714,7.7,3550,7.087040280210157,Cats,1998,120
245209,tt0255643,8.1,2148,7.087034035656401,Thenmavin Kombath,1994,164
1608316,tt1172203,7.6,4241,7.087021647686468,Sita Sings the Blues,2008,82
108886,tt0111282,7.1,166984,7.086978081506792,Stargate,1994,116
281355,tt0293416,7.2,19231,7.086957111528114,Metropolis,2001,108
